,Names,price
0,Adidas Adilette Shower Slides for Men,849.0
1,Adidas Copa Mundial Firm Ground Football Shoes for Men,549.0
2,Adidas F50 Club Firm/Multi-Ground Football Shoes for Men,269.0
3,Adidas F50 Club Firm/Multi-Ground Football Shoes for Men,269.0
4,Adidas F50 Club Turf Football Shoes for Men,269.0
5,Adidas Predator Club Indoor Sala Football Shoes for Men,269.0
6,Adidas Predator Club Indoor Sala Football Shoes for Men,269.0
7,Adidas Predator Club Turf Football Shoes for Men,169.0
8,Adidas Predator Club Firm/Multi-Ground Football Shoes for Men,269.0
